State,Notes,Total Medicaid Enrollees,Total Medicaid Enrollment in Any Type of Managed Care,Medicaid Enrollment in Comprehensive Managed Care,Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs,Year
Kentucky,,"1,353,368","1,224,145","1,224,145","446,084",2019
Louisiana,,"1,622,025","1,501,128","1,356,874","456,191",2019
Maine,,"258,581","242,488",0,0,2019
Maryland,,"1,457,966","1,190,559","1,190,559","296,967",2019
Massachusetts,,"1,829,245","1,187,701","731,688","165,865",2019
Michigan,,"4,713,103","4,650,365","2,446,408","621,998",2019
Minnesota,,"1,085,204","849,507","849,507","166,096",2019
Mississippi,,"673,247","436,028","436,028",0,2019
Missouri,,"858,077","840,878","596,646",0,2019
Montana,,"254,273","207,316",0,0,2019
Nebraska,,"248,377","247,490","247,490",0,2019
Nevada,,"654,497","575,184","498,872","196,682",2019
New Hampshire,,"193,363","173,073","173,073","48,680",2019
New Jersey,,"1,612,863","1,499,339","1,499,339","488,119",2019
New Mexico,,"832,295","668,435","668,435","230,343",2019
New York,,"6,140,117","4,705,224","4,466,540","3,447,402",2019
North Carolina,,"2,173,625","1,621,483","2,310",0,2019
North Dakota,,"88,829","45,939","19,872","19,692",2019
Northern Mariana Islands,,n/a,n/a,n/a,n/a,2019
Ohio,,"2,823,271","2,371,585","2,371,585","564,575",2019
Oklahoma,,"790,443","645,075",537,0,2019
Oregon,,"1,080,170","869,710","869,710","396,073",2019
Pennsylvania,,"2,827,289","2,626,598","2,442,251","686,944",2019
Puerto Rico,,"1,331,694","1,331,694","1,331,694","408,694",2019
Rhode Island,,"312,141","293,043","259,274","70,388",2019
South Carolina,,"1,253,433","1,253,433","801,566",0,2019
South Dakota,,"122,209","90,253",0,0,2019
Tennessee,,"1,565,485","1,437,688","1,437,688",0,2019
Texas,,"3,878,840","3,742,053","3,578,633",0,2019
Utah,,"290,203","258,484","215,764",0,2019
Vermont9,"The Department of Vermont Health Access, a state agency, acts as Vermont's single MCO entity. This program is classified as a “Comprehensive MCO + MLTSS” program but is considered by CMS and the state to be a “Comprehensive non-risk PIHP” program. ","166,114","108,731","108,731","44,868",2019
Virgin Islands,,n/a,n/a,n/a,n/a,2019
Virginia,,"1,460,075","1,275,928","1,275,928","303,154",2019
Washington,,"1,742,684","1,742,684","1,513,259","78,346",2019
West Virginia,,"508,092","387,376","387,376","147,305",2019
Wisconsin,,"1,194,983","812,661","758,446",0,2019
Wyoming,,"60,472",137,137,0,2019
TOTALS,,"80,814,842","67,836,622","58,521,930","17,365,895",2020
Alabama,,"1,092,935","861,758",166,0,2020
Alaska5,,"222,723",0,0,0,2020
American Samoa,,n/a,n/a,n/a,n/a,2020
Arizona,,"2,013,348","1,711,292","1,711,292","461,077",2020
Arkansas,,"988,178","875,994","42,938",0,2020
California,,"13,016,208","10,650,556","10,650,549","3,218,039",2020
Colorado6,,"1,316,543","1,266,374","133,992","58,559",2020
Connecticut7,"Connecticut's Total Medicaid Enrollment as of July 1, 2020 was taken from the July - September 2020 enrollment data collected through the Medicaid Budget and Expenditure System, updated June 2021, and accessed April 20, 2022. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","990,928",0,0,0,2020
Delaware,,"248,794","217,895","212,163","62,344",2020
District of Columbia,,"265,501","247,592","193,692","59,644",2020
Florida,,"4,210,849","3,580,237","3,281,271",0,2020
Georgia8,"Georgia's Total Medicaid Enrollment in Any Type of Managed Care does not include 1,766,478 NEMT enrollees; a portion of these enrollees are simultaneously enrolled in other managed care programs.","2,288,352","1,647,055","1,585,535",0,2020
Guam,,n/a,n/a,n/a,n/a,2020
Hawaii,,"360,381","360,277","360,277","122,907",2020
Idaho,,"375,710","344,075","25,711",0,2020
Illinois,,"3,143,105","2,394,304","2,337,395","551,899",2020
Indiana9,,"1,597,421","1,200,444","1,200,444","597,002",2020
Iowa,,"673,328","603,274","603,274","192,488",2020
Kansas,,"413,787","365,808","365,808",0,2020
Kentucky,,"1,503,931","1,418,458","1,365,246","459,608",2020
Louisiana,,"1,731,060","1,612,144","1,468,845","532,697",2020
Maine,,"291,765","265,968",0,0,2020
Maryland,,"1,483,337","1,256,287","1,256,287","320,468",2020
Massachusetts,,"1,893,605","1,239,099","761,847","177,331",2020
Michigan10,,"2,573,851","2,415,313","1,930,736","621,998",2020
Minnesota,,"1,119,244","941,818","941,818","192,354",2020
Mississippi,,"704,743","450,665","450,665",0,2020
Missouri,,"939,919","815,724","657,492",0,2020
Montana,,"263,872","235,052",0,0,2020
Nebraska,,"262,780","261,472","261,438",0,2020
Nevada,,"720,389","650,160","558,040","213,483",2020
New Hampshire,,"210,094","190,713","190,713","58,654",2020
New Jersey,,"1,683,987","1,588,936","1,588,936","542,076",2020
New Mexico,,"876,406","718,655","718,655","250,856",2020
New York11,,"6,458,770","5,014,525","4,765,561","3,780,522",2020
North Carolina,,"2,266,262","1,703,303","2,205",0,2020
North Dakota,,"94,716","52,986","21,673","21,497",2020
Northern Mariana Islands,,n/a,n/a,n/a,n/a,2020
Ohio,,"2,973,911","2,575,003","2,575,003","649,674",2020
Oklahoma,,"877,492","701,359",638,0,2020
Oregon,,"1,159,844","969,719","969,719","451,468",2020
Pennsylvania,,"2,984,420","2,842,424","2,759,465","975,848",2020
Puerto Rico,,"1,283,091","1,283,091","1,283,091","408,122",2020
Rhode Island,,"309,491","301,740","267,202","78,769",2020
South Carolina,,"1,277,117","1,277,117","841,817",0,2020
South Dakota,,"123,000","79,462",0,0,2020
Tennessee,,"1,582,708","1,464,590","1,464,590",0,2020
Texas,,"4,222,317","4,074,510","4,007,391",0,2020
Utah,,"342,000","324,302","273,388","37,484",2020
Vermont,,"174,068","118,656","118,656","55,412",2020
Virgin Islands,,n/a,n/a,n/a,n/a,2020
Virginia,,"1,473,316","1,473,316","1,400,015","436,180",2020
Washington,,"1,830,122","1,830,122","1,608,661","1,607,696",2020
West Virginia,,"534,107","429,336","429,336","169,739",2020
Wisconsin,,"1,308,070","933,527","878,159",0,2020
Wyoming,,"62,946",135,135,0,2020
TOTALS,,"90,519,895","77,211,654","67,561,426","19,313,621",2021
Alabama,,"1,198,510","951,174",161,0,2021
Alaska5,"Alaska's Total Medicaid Enrollment as of July 1, 2021 was taken from the July - September 2021 enrollment data collected through the Medicaid Budget and Expenditure System, updated January 2023, and accessed April 2, 2023. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","242,176",0,0,0,2021
American Samoa,,n/a,n/a,n/a,n/a,2021
Arizona,,"2,244,273","1,920,290","1,795,458","581,850",2021
Arkansas,,"1,069,577","963,945","50,269","1,961",2021
California,,"14,150,266","11,674,619","11,663,813","3,774,831",2021
Colorado6,"Colorado reported plan level enrollment as 0 for plans that had fewer than 30 beneficiaries. As a result, reported Medicaid Enrollment in Comprehensive Managed Care may be lower than actual enrollment.","1,499,303","1,422,844","4,818","77,560",2021
Connecticut7,"Connecticut's Total Medicaid Enrollment as of July 1, 2021 was taken from the July - September 2021 enrollment data collected through the Medicaid Budget and Expenditure System, updated January 2023, and accessed April 2, 2023. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","1,106,169",0,0,0,2021
Delaware,,"276,475","244,822","240,913","74,684",2021
District of Columbia,,"285,297","268,245","231,323","73,744",2021
Florida,,"4,871,362","4,099,027","3,812,042",0,2021
Georgia,,"2,539,039","2,229,243","1,829,900",0,2021
Guam,,n/a,n/a,n/a,n/a,2021
Hawaii,,"420,033","420,033","420,033","159,087",2021
Idaho,,"421,589","391,216","23,603",0,2021
Illinois,,"3,467,588","2,680,873","2,616,074","665,086",2021
Indiana,,"1,870,171","1,474,054","1,474,054","461,955",2021
Iowa,,"749,862","711,427","704,047","229,765",2021
Kansas,,"461,405","407,229","406,634",0,2021
Kentucky,,"1,584,976","1,582,351","1,416,189","645,520",2021
Louisiana,,"1,894,676","1,759,372","1,617,083","662,959",2021
Maine,,"331,396","326,611",0,0,2021
Maryland,,"1,780,886","1,520,599","1,520,599","440,264",2021
Massachusetts,,"2,091,955","1,387,657","848,004","187,809",2021
Michigan8,"Michigan reported a number for total enrollment in comprehensive managed care that was greater than total Medicaid enrollment and total Medicaid enrollment in any managed care, but did not provide an explanation for why this number was greater.","2,900,801","2,692,435","2,914,629","758,228",2021
Minnesota,,"1,253,815","1,150,333","1,086,715","239,203",2021
Mississippi,,"776,482","475,168","475,168",0,2021
Missouri,,"1,048,083","810,775","777,173",0,2021
Montana,,"309,776","245,390",0,0,2021
Nebraska,,"336,290","334,939","334,931","51,213",2021
Nevada,,"847,650","792,428","641,100","273,265",2021
New Hampshire,,"239,439","218,604","218,604","76,648",2021
New Jersey,,"1,892,091","1,821,033","1,821,033","664,202",2021
New Mexico,,"941,830","781,820","781,820","267,716",2021
New York9,New York's total Medicaid Section VIII expansion count is higher than expected as compared to MBES. New York's Medicaid Section VIII expansion count includes many people with New York State of Health enrollment who are not actually in the Medicaid Section VIII expansion population.,"7,145,884","5,620,459","5,377,127","4,262,161",2021
North Carolina,,"2,557,593","2,054,350","1,549,975",0,2021
North Dakota,,"125,354","86,164","33,806","33,639",2021
Northern Mariana Islands,,n/a,n/a,n/a,n/a,2021
Ohio,,"3,238,849","2,782,891","2,782,891","756,534",2021
Oklahoma10,"Oklahoma's total Medicaid enrollment increased due to expanding Medicaid coverage to childless adults effective July 1, 2021.","1,065,121","1,049,630","1,171",0,2021
Oregon,,"1,286,095","1,164,999","1,164,999","545,022",2021
Pennsylvania,,"3,292,313","3,155,790","3,090,783","1,032,189",2021
Puerto Rico,,"1,501,860","1,501,860","1,501,860","587,748",2021
Rhode Island,,"339,276","336,240","287,052","97,032",2021
South Carolina,,"1,446,070","1,446,070","962,377",0,2021
South Dakota,,"137,268","83,890",0,0,2021
Tennessee,,"1,717,984","1,596,482","1,596,482",0,2021
Texas,,"4,928,655","4,770,549","4,024,322",0,2021
Utah11,Utah Medicaid enrollment increased due to state Medicaid expansion in 2020.,"424,565","402,216","351,918","62,863",2021
Vermont12,"The Department of Vermont Health Access, a state agency, acts as Vermont's single MCO entity via a managed care-like model that operates like a non-risk pre-paid inpatient health plan (PIHP).","191,240","131,002","131,002","57,656",2021
Virgin Islands,,n/a,n/a,n/a,n/a,2021
Virginia,,"1,852,563","1,692,156","1,692,156","523,964",2021
Washington,,"2,008,655","2,008,655","1,772,786","789,431",2021
West Virginia,,"599,336","488,048","488,048","197,832",2021
Wisconsin,,"1,484,746","1,081,647","1,026,481",0,2021
Wyoming13,"Wyoming's Total Medicaid Enrollment as of July 1, 2021 was taken from the July - September 2021 enrollment data collected through the Medicaid Budget and Expenditure System, updated January 2023, and accessed April 2, 2023. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","73,227",0,0,0,2021
TOTALS,,"98,019,715","83,331,189","73,639,082","21,232,035",2022
Alabama,,"1,287,819","1,028,114",179,0,2022
Alaska,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","254,283",0,0,0,2022
American Samoa,,n/a,n/a,n/a,n/a,2022
Arizona,,"2,412,424","2,066,895","1,938,718","654,153",2022
Arkansas,,"1,763,975","1,707,791","64,026","3,664",2022
California,,"15,136,020","12,841,729","12,781,265","4,354,086",2022
Colorado,,"1,608,310","1,544,749","4,525","83,198",2022
Connecticut,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","1,140,225",0,0,0,2022
Delaware,,"302,869","268,117","261,758","85,300",2022
District of Columbia,,"300,381","288,796","259,159","83,046",2022
Florida,,"5,399,695","5,076,398","4,202,917",0,2022
Georgia,,"2,734,003","2,416,856","2,008,026",0,2022
Guam,,n/a,n/a,n/a,n/a,2022
Hawaii,,"450,268","450,159","450,159","383,844",2022
Idaho,,"424,893","404,124","25,689",0,2022
Illinois,,"3,726,082","2,796,521","2,796,521","711,004",2022
Indiana,,"2,070,992","1,659,715","1,659,715","506,135",2022
Iowa,,"803,050","761,121","753,561","239,789",2022
Kansas,,"525,725","443,835","443,835",0,2022
Kentucky,,"1,651,543","1,494,070","1,494,070","543,684",2022
Louisiana,,"1,985,537","1,839,327","1,694,452","728,952",2022
Maine,,"393,783","345,429",0,0,2022
Maryland,,"1,734,624","1,496,250","1,496,250","430,370",2022
Massachusetts,,"2,091,955","1,387,657","848,004","187,809",2022
Michigan,,"3,092,404","3,074,187","3,074,159","782,520",2022
Minnesota,,"1,348,563","1,168,879","1,180,108","272,666",2022
Mississippi,,"858,687","367,137","365,169","129,351",2022
Missouri,,"1,278,851","1,016,503","1,016,515","196,572",2022
Montana,,"289,659","243,475",0,0,2022
Nebraska,,"374,783","373,534","373,492","73,575",2022
Nevada,,"923,168","839,650","698,726","309,929",2022
New Hampshire,,"256,087","236,926","236,926","88,966",2022
New Jersey,,"2,022,155","1,950,681","2,019,216","741,398",2022
New Mexico,,"984,008","814,749","814,749","270,613",2022
New York,,"7,589,766","5,889,363","5,640,784","4,591,341",2022
North Carolina,,"2,804,306","2,245,044","1,700,679",0,2022
North Dakota,,"133,631","95,076","36,865","36,680",2022
Northern Mariana Islands,,n/a,n/a,n/a,n/a,2022
Ohio,,"3,425,876","2,962,997","2,962,985","909,685",2022
Oklahoma,,"1,273,948","824,413",713,0,2022
Oregon,,"1,393,623","1,265,779","1,265,779","602,315",2022
Pennsylvania,,"3,534,344","3,484,439","3,288,966","1,297,110",2022
Puerto Rico,,"1,597,058","1,594,058","1,594,058","600,145",2022
Rhode Island,,"357,304","351,133","300,893","106,042",2022
South Carolina,,"1,550,759","1,060,312","1,045,650",0,2022
South Dakota,,"149,096","104,455",0,0,2022
Tennessee,,"1,817,119","1,697,632","1,697,632",0,2022
Texas,,"5,543,480","5,328,691","5,295,360",0,2022
Utah,,"477,832","449,492","396,559","83,116",2022
Vermont,,"199,989","134,347","134,337","57,962",2022
Virgin Islands,,n/a,n/a,n/a,n/a,2022
Virginia,,"1,978,005","1,794,045","1,794,045","61,567",2022
Washington,,"2,229,539","1,894,623","1,894,623","810,527",2022
West Virginia,,"660,068","589,322","521,017","214,921",2022
Wisconsin,,"1,593,772","1,162,594","1,106,248",0,2022
Wyoming,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","83,379",0,0,0,2022